Km,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,,38.8,29.7,37.4,76.8,106,170,26.4,42.4,26.8,49.9,45.9,186,139,253,186,163,212,166,147,80.9,122,42.4,143
2,38.8,,31.5,39.3,50.7,108,205,60.9,77,62.4,43.2,80.5,165,97.8,250,226,204,208,207,188,114,162,47.9,101
3,29.7,31.5,,9.9,82.2,79,196,51.8,67.8,53.2,67.7,71.3,183,116,242,210,187,201,190,171,97,146,31.2,120
4,37.4,39.3,9.9,,73.3,73.4,204,59.5,75.6,60.9,82.3,79.1,204,135,223,218,196,182,199,180,86.2,154,28.2,141
5,76.8,50.7,82.2,73.3,,228,128,99.3,115,83.6,51.1,113,134,53.2,207,240,229,165,241,222,158,187,91.9,70.9
6,106,108,79,73.4,228,,272,128,144,130,151,148,270,190,192,286,263,152,267,247,162,222,95.9,207
7,170,205,196,204,128,272,,166,151,159,184,130,122,272,433,40.3,18.8,392,20.6,39.2,167,84,222,186
8,26.4,60.9,51.8,59.5,99.3,128,166,,16.1,28.1,71.2,43.1,189,175,290,192,166,249,172,150,50,100,40.1,179
9,42.4,77,67.8,75.6,115,144,151,16.1,,27.3,62.3,29.8,170,186,319,173,147,278,153,131,51.5,71,75.9,124
10,26.8,62.4,53.2,60.9,83.6,130,159,28.1,27.3,,35.1,29.8,170,153,268,173,148,226,153,132,83.7,108,56.9,157
11,49.9,43.2,67.7,82.3,51.1,151,184,71.2,62.3,35.1,,64.9,139,122,275,202,176,233,182,160,126,136,92.2,126
12,45.9,80.5,71.3,79.1,113,148,130,43.1,29.8,29.8,64.9,,146,186,311,149,123,269,129,107,88.3,83.1,99.8,90.2
13,186,165,183,204,134,270,122,189,170,170,139,146,,150,340,106,104,299,110,88.1,215,122,227,64
14,139,97.8,116,135,53.2,190,272,175,186,153,122,186,150,,198,257,255,156,261,239,212,251,146,87.6
15,253,250,242,223,207,192,433,290,319,268,275,311,340,198,,441,415,42.3,421,399,314,356,248,277
16,186,226,210,218,240,286,40.3,192,173,173,202,149,106,257,441,,42.3,397,19.7,44,194,110,227,170
17,163,204,187,196,229,263,18.8,166,147,148,176,123,104,255,415,42.3,,374,24.5,21.2,152,68.2,204,168
18,212,208,201,182,165,152,392,249,278,226,233,269,299,156,42.3,397,374,,379,358,272,323,206,235
19,166,207,190,199,241,267,20.6,172,153,153,182,129,110,261,421,19.7,24.5,379,,24.5,174,91,208,171
20,147,188,171,180,222,247,39.2,150,131,132,160,107,88.1,239,399,44,21.2,358,24.5,,167,83.2,188,152
21,80.9,114,97,86.2,158,162,167,50,51.5,83.7,126,88.3,215,212,314,194,152,272,174,167,,83.5,74.7,215
22,122,162,146,154,187,222,84,100,71,108,136,83.1,122,251,356,110,68.2,323,91,83.2,83.5,,146,158
23,42.4,47.9,31.2,28.2,91.9,95.9,222,40.1,75.9,56.9,92.2,99.8,227,146,248,227,204,206,208,188,74.7,146,,149
24,143,101,120,141,70.9,207,186,179,124,157,126,90.2,64,87.6,277,170,168,235,171,152,215,158,149,
