Km,1,2,3,4,5,6,7,8,9,10,11,12
1,,38.8,29.7,37.4,76.8,106,170,26.4,42.4,26.8,49.9,45.9
2,38.8,,31.5,39.3,50.7,108,205,60.9,77,62.4,43.2,80.5
3,29.7,31.5,,9.9,82.2,79,196,51.8,67.8,53.2,67.7,71.3
4,37.4,39.3,9.9,,73.3,73.4,204,59.5,75.6,60.9,82.3,79.1
5,76.8,50.7,82.2,73.3,,228,128,99.3,115,83.6,51.1,113
6,106,108,79,73.4,228,,272,128,144,130,151,148
7,170,205,196,204,128,272,,166,151,159,184,130
8,26.4,60.9,51.8,59.5,99.3,128,166,,16.1,28.1,71.2,43.1
9,42.4,77,67.8,75.6,115,144,151,16.1,,27.3,62.3,29.8
10,26.8,62.4,53.2,60.9,83.6,130,159,28.1,27.3,,35.1,29.8
11,49.9,43.2,67.7,82.3,51.1,151,184,71.2,62.3,35.1,,64.9
12,45.9,80.5,71.3,79.1,113,148,130,43.1,29.8,29.8,64.9,
