Min,1,2,3,4,5,6,7,8,9,10,11,12
1,,33,27,34,65,93,145,23,37,23,38,38
2,33,,28,35,42,94,172,50,64,51,47,65
3,27,28,,11,69,71,166,44,57,44,72,59
4,34,35,11,,71,66,174,52,66,53,73,67
5,65,42,69,71,,192,114,83,97,70,43,94
6,93,94,71,66,192,,235,112,126,113,133,127
7,145,172,166,174,114,235,,137,124,133,151,109
8,23,50,44,52,83,112,137,,14,38,61,38
9,37,64,57,66,97,126,124,14,,36,67,24
10,23,51,44,53,70,113,133,38,36,,31,25
11,38,47,72,73,43,133,151,61,67,31,,56
12,38,65,59,67,94,127,109,38,24,25,56,
